YearMonth,Other,China Only,US Only,US-China Collaboration,US-Non China,China-Non US
2008-04,0.6666666665416666,0.08333333335416666,0.24999999997916666,4.166666665625e-11,4.166666665625e-11,4.166666665625e-11
2008-05,0.7647058821418685,0.058823529449826994,0.11764705884083045,5.882352939100347e-11,0.058823529449826994,5.882352939100347e-11
2008-06,0.5294117645778547,0.11764705884083045,0.2941176470138408,5.882352939100347e-11,0.058823529449826994,5.882352939100347e-11
2008-07,0.5454545453512396,0.09090909092975206,0.3636363635826446,4.5454545442148764e-11,4.5454545442148764e-11,4.5454545442148764e-11
2008-08,0.4615384614023669,0.153846153852071,0.30769230762721894,7.692307688757397e-11,0.07692307696449704,7.692307688757397e-11
2008-09,0.7777777775740741,5.555555553703704e-11,0.11111111112962962,5.555555553703704e-11,0.11111111112962962,5.555555553703704e-11
2008-10,0.49999999985714283,0.14285714286734694,0.3571428570612245,7.142857139795919e-11,7.142857139795919e-11,7.142857139795919e-11
2008-11,0.8181818178264463,9.090909085950413e-11,0.09090909095041323,9.090909085950413e-11,0.09090909095041323,9.090909085950413e-11
2008-12,0.6315789472216067,5.2631578930747926e-11,0.36842105256786706,5.2631578930747926e-11,5.2631578930747926e-11,5.2631578930747926e-11
2009-01,0.7368421050831024,0.0526315789833795,0.21052631577562328,5.2631578930747926e-11,5.2631578930747926e-11,5.2631578930747926e-11
2009-02,0.5599999999056,0.1600000000016,0.2399999999824,3.9999999990400004e-11,0.0400000000304,3.9999999990400004e-11
2009-03,0.6842105261523546,0.10526315791412742,0.10526315791412742,0.0526315789833795,0.0526315789833795,5.2631578930747926e-11
2009-04,0.6315789472216067,0.10526315791412742,0.21052631577562328,5.2631578930747926e-11,0.0526315789833795,5.2631578930747926e-11
2009-05,0.7857142854489796,7.142857139795919e-11,0.21428571426530613,7.142857139795919e-11,7.142857139795919e-11,7.142857139795919e-11
2009-06,0.549999999885,0.10000000002000001,0.249999999975,0.050000000035000006,0.050000000035000006,4.9999999985e-11
2009-07,0.46666666654666666,6.666666664000001e-11,0.46666666654666666,6.666666664000001e-11,0.06666666670666667,6.666666664000001e-11
2009-08,0.7999999997466667,6.666666664000001e-11,0.13333333334666667,6.666666664000001e-11,0.06666666670666667,6.666666664000001e-11
2009-09,0.5263157893601108,0.15789473684487534,0.3157894736371191,5.2631578930747926e-11,5.2631578930747926e-11,5.2631578930747926e-11
2009-10,0.7058823527508651,5.882352939100347e-11,0.2941176470138408,5.882352939100347e-11,5.882352939100347e-11,5.882352939100347e-11
2009-11,0.5999999998266666,0.13333333334666667,0.06666666670666667,6.666666664000001e-11,0.19999999998666668,6.666666664000001e-11
2009-12,0.374999999921875,0.0625000000390625,0.5624999998515625,6.24999999765625e-11,6.24999999765625e-11,6.24999999765625e-11
2010-01,0.6666666664666666,0.06666666670666667,0.26666666662666666,6.666666664000001e-11,6.666666664000001e-11,6.666666664000001e-11
2010-02,0.4166666665416667,8.333333329166667e-11,0.583333333125,8.333333329166667e-11,8.333333329166667e-11,8.333333329166667e-11
2010-03,0.8461538459970414,0.07692307694378699,0.07692307694378699,3.8461538452662723e-11,3.8461538452662723e-11,3.8461538452662723e-11
2010-04,0.6923076921863905,0.07692307694378699,0.23076923075443787,3.8461538452662723e-11,3.8461538452662723e-11,3.8461538452662723e-11
2010-05,0.5416666665729166,4.166666665625e-11,0.33333333329166664,4.166666665625e-11,0.12500000001041667,4.166666665625e-11
2010-06,0.6799999998768,0.0800000000208,0.1600000000016,0.0400000000304,3.9999999990400004e-11,0.0400000000304
2010-07,0.571428571255102,0.21428571426530613,0.21428571426530613,7.142857139795919e-11,7.142857139795919e-11,7.142857139795919e-11
2010-08,0.5882352939688581,5.882352939100347e-11,0.3529411764048443,5.882352939100347e-11,0.058823529449826994,5.882352939100347e-11
2010-09,0.521739130342155,0.13043478261814745,0.21739130433459358,4.3478260858223065e-11,0.04347826090170132,0.08695652175992438
2010-10,0.5882352939688581,0.058823529449826994,0.2941176470138408,5.882352939100347e-11,0.058823529449826994,5.882352939100347e-11
2010-11,0.7272727271198347,0.13636363637190083,0.09090909092975206,4.5454545442148764e-11,0.04545454548760331,4.5454545442148764e-11
